transaction_id,timestamp,payment_method,amount,currency,merchant,region,customer_id,is_fraud
c36a57d3,2026-09-01 03:38:00,ACH,720.91,USD,Netflix,Western Europe,CUST-5838,0
75f16bfa,2026-09-01 03:39:00,Wallet,333.39,USD,Netflix,Southern Europe,CUST-9947,0
2c796d28,2026-09-01 03:41:00,Wallet,246.55,EUR,Shopify Store,Southern Europe,CUST-4350,0
89005222,2026-09-01 03:42:00,Card,359.94,USD,Grocery Mart,North America,CUST-9827,0
1148620c,2026-09-01 03:43:00,ACH,445.14,USD,Local Coffee Shop,Northern Europe,CUST-3805,0
107a7702,2026-09-01 03:47:00,Card,620.69,EUR,Pharmacy Plus,Southern Europe,CUST-6478,0
1dbd87ce,2026-09-01 03:51:00,ACH,286.33,USD,Travel Booking,Southern Europe,CUST-9969,0
3a61668e,2026-09-01 04:10:00,Wallet,465.66,USD,Spotify,Western Europe,CUST-2462,0
4717a856,2026-09-01 04:17:00,Card,652.46,USD,Uber,North America,CUST-9641,0
41876409,2026-09-01 04:19:00,Wallet,687.53,EUR,Spotify,Western Europe,CUST-8663,0
bc6e7e1a,2026-09-01 04:20:00,Wallet,695.78,EUR,Amazon,Eastern Europe,CUST-1746,0
17a6e250,2026-09-01 04:27:00,Wallet,639.21,USD,Spotify,Southern Europe,CUST-3559,0
5ad9ddb7,2026-09-01 04:33:00,Card,214.05,EUR,Spotify,North America,CUST-3966,0
09d19b1d,2026-09-01 04:42:00,Card,359.36,EUR,Netflix,Western Europe,CUST-7628,0
6b7768b1,2026-09-01 04:52:00,Wallet,747.5,USD,Local Coffee Shop,Western Europe,CUST-4502,0
1ce631a7,2026-09-01 04:56:00,Card,646.13,USD,Electronics Hub,North America,CUST-6293,0
f8266c6b,2026-09-01 05:06:00,Card,759.45,USD,Spotify,Southern Europe,CUST-3495,0
83ccf22e,2026-09-01 05:10:00,Card,649.76,EUR,Grocery Mart,Southern Europe,CUST-5667,0
2447626e,2026-09-01 05:29:00,Card,586.91,EUR,GameStore,North America,CUST-8935,0
d8c9880a,2026-09-01 05:38:00,Card,764.14,USD,Shopify Store,Northern Europe,CUST-2834,0
061012fe,2026-09-01 05:49:00,Wallet,775.93,EUR,Shopify Store,North America,CUST-1268,0
1e743fcb,2026-09-01 06:27:00,Wallet,272.22,EUR,Grocery Mart,Southern Europe,CUST-4404,0
bc6564cf,2026-09-01 06:27:00,Card,320.82,USD,Electronics Hub,Northern Europe,CUST-5381,0
6df2502d,2026-09-01 06:27:00,Card,541.73,EUR,Grocery Mart,Eastern Europe,CUST-6143,0
d7264a3c,2026-09-01 06:34:00,Card,723.44,USD,Pharmacy Plus,Western Europe,CUST-5327,0
76251756,2026-09-01 06:41:00,Wallet,378.01,USD,Electronics Hub,Southern Europe,CUST-9653,0
ba478f2f,2026-09-01 06:46:00,ACH,188.43,EUR,Grocery Mart,Western Europe,CUST-8222,0
904abc98,2026-09-01 06:50:00,Card,287.0,USD,Grocery Mart,North America,CUST-6044,0
431f8edd,2026-09-01 06:56:00,Card,24.36,USD,Amazon,Southern Europe,CUST-4394,0
d38606eb,2026-09-01 07:00:00,Card,602.54,EUR,Amazon,Eastern Europe,CUST-3294,0
d8926a84,2026-09-01 07:07:00,Card,700.65,EUR,Grocery Mart,Northern Europe,CUST-1904,0
9e8d2a88,2026-09-01 07:09:00,Card,564.56,EUR,Travel Booking,Southern Europe,CUST-1831,0
c9a6eb3d,2026-09-01 07:11:00,ACH,660.26,USD,Local Coffee Shop,Northern Europe,CUST-7928,0
088ea573,2026-09-01 07:11:00,ACH,753.3,EUR,Electronics Hub,Eastern Europe,CUST-6801,0
e77dd919,2026-09-01 07:14:00,ACH,512.03,USD,Pharmacy Plus,Northern Europe,CUST-9430,0
8ba1f494,2026-09-01 07:18:00,Wallet,506.5,USD,Pharmacy Plus,North America,CUST-6163,0
21c41795,2026-09-01 07:18:00,Card,478.35,EUR,Spotify,Western Europe,CUST-2753,0
b1234ac6,2026-09-01 07:22:00,ACH,276.8,EUR,Grocery Mart,Western Europe,CUST-1497,0
4761cfa8,2026-09-01 07:23:00,Wallet,522.18,USD,Amazon,Eastern Europe,CUST-9404,0
2f79b3e9,2026-09-01 07:26:00,Wallet,590.48,USD,Travel Booking,Northern Europe,CUST-9075,1
44527730,2026-09-01 07:29:00,Wallet,783.5,USD,Netflix,Southern Europe,CUST-5033,0
f4ed683a,2026-09-01 07:37:00,ACH,610.04,USD,Shopify Store,Northern Europe,CUST-2535,0
d1fcbd05,2026-09-01 07:43:00,Wallet,1585.93,EUR,GameStore,Northern Europe,CUST-7663,1
2a14e64b,2026-09-01 07:49:00,ACH,35.5,EUR,Fashion Outlet,Western Europe,CUST-4988,0
9e5e62bb,2026-09-01 07:58:00,ACH,272.62,USD,GameStore,Northern Europe,CUST-4519,0
0441d507,2026-09-01 08:11:00,Card,648.34,EUR,Pharmacy Plus,Eastern Europe,CUST-2954,0
c1949a13,2026-09-01 08:12:00,Wallet,607.01,EUR,Electronics Hub,Southern Europe,CUST-5756,0
b75efc9c,2026-09-01 08:13:00,ACH,783.12,USD,GameStore,Eastern Europe,CUST-9950,0
8da0307f,2026-09-01 08:16:00,Wallet,772.96,USD,Local Coffee Shop,Northern Europe,CUST-4271,0
d58b629b,2026-09-01 08:21:00,ACH,2055.9,EUR,GameStore,Eastern Europe,CUST-4435,1
b6a04937,2026-09-01 08:26:00,ACH,161.25,EUR,Grocery Mart,Western Europe,CUST-9227,0
8909f76d,2026-09-01 08:29:00,Card,164.27,EUR,Netflix,Northern Europe,CUST-2397,0
ad7c9fa4,2026-09-01 08:31:00,Wallet,154.64,EUR,Fashion Outlet,Northern Europe,CUST-2279,0
ab3980c8,2026-09-01 08:48:00,Wallet,558.75,EUR,Pharmacy Plus,Northern Europe,CUST-4144,0
25a88e96,2026-09-01 09:00:00,Wallet,107.11,EUR,Netflix,Western Europe,CUST-4479,0
2b7fc988,2026-09-01 09:04:00,Wallet,789.78,USD,Electronics Hub,Northern Europe,CUST-3709,0
2c00dee0,2026-09-01 09:05:00,ACH,134.21,USD,Electronics Hub,North America,CUST-8953,0
9f8a5939,2026-09-01 09:05:00,ACH,526.54,EUR,Fashion Outlet,Eastern Europe,CUST-9749,0
44d02e01,2026-09-01 09:13:00,ACH,73.48,EUR,Electronics Hub,Eastern Europe,CUST-9502,0
f71a765a,2026-09-01 09:24:00,Card,114.02,EUR,Electronics Hub,Southern Europe,CUST-8959,0
19129287,2026-09-01 09:29:00,Card,363.4,EUR,Travel Booking,Northern Europe,CUST-6337,0
af13ac8c,2026-09-01 09:32:00,Card,776.02,EUR,Uber,Western Europe,CUST-1584,0
45cb3d20,2026-09-01 09:33:00,Card,289.39,USD,Local Coffee Shop,Southern Europe,CUST-6650,0
abbb8696,2026-09-01 09:35:00,Card,525.54,EUR,Spotify,Western Europe,CUST-6816,0
b9247b38,2026-09-01 09:47:00,Wallet,449.73,EUR,Spotify,Western Europe,CUST-5328,0
6703b687,2026-09-01 09:49:00,Wallet,116.99,EUR,Travel Booking,Western Europe,CUST-5335,0
35046da6,2026-09-01 09:53:00,ACH,568.15,EUR,Local Coffee Shop,Eastern Europe,CUST-6095,0
f65180c4,2026-09-01 09:56:00,Wallet,641.62,USD,Electronics Hub,Northern Europe,CUST-2696,0
9beaf883,2026-09-01 10:07:00,Card,480.7,EUR,Travel Booking,Western Europe,CUST-9695,0
d1c4cba8,2026-09-01 10:12:00,Wallet,318.71,EUR,Spotify,Western Europe,CUST-9423,0
a5c1987e,2026-09-01 10:14:00,ACH,153.62,EUR,Amazon,Northern Europe,CUST-5259,0
e1fe7f27,2026-09-01 10:15:00,ACH,560.25,EUR,Local Coffee Shop,Southern Europe,CUST-8490,0
92f28232,2026-09-01 10:19:00,Wallet,47.87,USD,Uber,Southern Europe,CUST-3412,0
77d7fb12,2026-09-01 10:38:00,ACH,500.8,USD,GameStore,Eastern Europe,CUST-5983,0
8924faef,2026-09-01 10:39:00,ACH,381.46,EUR,Shopify Store,Southern Europe,CUST-5498,0
60f1069e,2026-09-01 10:43:00,Wallet,631.38,USD,Local Coffee Shop,Western Europe,CUST-6879,0
ec6f36a1,2026-09-01 10:46:00,Card,341.53,USD,Pharmacy Plus,Western Europe,CUST-4169,0
0e2038ac,2026-09-01 11:03:00,ACH,93.62,EUR,GameStore,North America,CUST-8860,0
f9fbc7a2,2026-09-01 11:04:00,Card,348.65,USD,Uber,Northern Europe,CUST-6520,0
5170ce98,2026-09-01 11:17:00,ACH,162.45,EUR,Netflix,Western Europe,CUST-7558,0
1b8f5682,2026-09-01 11:23:00,Card,143.52,EUR,Pharmacy Plus,Western Europe,CUST-9741,0
5e5c604f,2026-09-01 11:29:00,Wallet,792.75,USD,Local Coffee Shop,North America,CUST-4242,0
1a97478c,2026-09-01 11:31:00,ACH,748.53,USD,GameStore,Northern Europe,CUST-2573,0
2435a4a7,2026-09-01 11:36:00,ACH,170.62,USD,Local Coffee Shop,Eastern Europe,CUST-2806,0
691d01d5,2026-09-01 11:37:00,Card,788.15,EUR,Netflix,Southern Europe,CUST-5639,0
e5b720ae,2026-09-01 11:51:00,Wallet,788.28,USD,Uber,Southern Europe,CUST-7647,0
0f977873,2026-09-01 11:56:00,Wallet,509.62,USD,Fashion Outlet,Northern Europe,CUST-3251,0
395c1ad2,2026-09-01 11:58:00,ACH,19.52,EUR,Netflix,Western Europe,CUST-3086,0
82cef9c8,2026-09-01 12:00:00,ACH,148.37,USD,Spotify,Eastern Europe,CUST-1785,0
c2148ff3,2026-09-01 12:05:00,Card,780.75,USD,Pharmacy Plus,North America,CUST-9864,0
627dc11d,2026-09-01 12:08:00,Card,110.14,USD,Pharmacy Plus,Southern Europe,CUST-1013,0
907a9996,2026-09-01 12:15:00,Card,656.4,EUR,Electronics Hub,Western Europe,CUST-5797,0
073afd62,2026-09-01 12:16:00,Card,739.58,EUR,Pharmacy Plus,North America,CUST-2743,0
152ebd66,2026-09-01 12:18:00,ACH,784.12,USD,Pharmacy Plus,Northern Europe,CUST-2099,0
48fd2314,2026-09-01 12:25:00,ACH,616.61,USD,Travel Booking,Eastern Europe,CUST-7022,0
e376cb53,2026-09-01 12:32:00,Card,775.82,EUR,Shopify Store,Northern Europe,CUST-7006,0
33a8dbf7,2026-09-01 12:39:00,Wallet,503.47,USD,Spotify,Eastern Europe,CUST-2435,0
b29b42fd,2026-09-01 12:39:00,Wallet,221.01,USD,Fashion Outlet,Southern Europe,CUST-7585,0
5c81e500,2026-09-01 12:42:00,Wallet,232.81,USD,Spotify,Southern Europe,CUST-5755,0
4bb1d2fc,2026-09-01 12:44:00,ACH,370.81,USD,Local Coffee Shop,Eastern Europe,CUST-5571,0
2aa7ce06,2026-09-01 12:52:00,Wallet,426.11,USD,Pharmacy Plus,Southern Europe,CUST-6881,0
6a5c9a60,2026-09-01 12:55:00,ACH,692.83,USD,Grocery Mart,Northern Europe,CUST-3070,0
6ce80092,2026-09-01 13:02:00,Card,591.77,EUR,Uber,Western Europe,CUST-7300,0
b962230c,2026-09-01 13:17:00,Wallet,115.59,EUR,Grocery Mart,North America,CUST-7411,0
8ed7fcad,2026-09-01 13:24:00,Wallet,362.75,EUR,Electronics Hub,Northern Europe,CUST-2507,0
a01f0dc2,2026-09-01 13:33:00,Wallet,257.67,USD,Electronics Hub,Eastern Europe,CUST-1139,0
91e50493,2026-09-01 13:41:00,Wallet,545.16,EUR,Electronics Hub,North America,CUST-9315,0
b64c7d99,2026-09-01 13:42:00,ACH,780.45,EUR,GameStore,Eastern Europe,CUST-9971,0
ac494e7c,2026-09-01 13:51:00,Wallet,637.53,USD,Pharmacy Plus,Western Europe,CUST-3929,0
0d1c62b4,2026-09-01 13:57:00,Wallet,743.06,EUR,Grocery Mart,Eastern Europe,CUST-7298,0
7c2c0f35,2026-09-01 13:57:00,Wallet,318.64,EUR,Grocery Mart,Northern Europe,CUST-4938,0
ced634cf,2026-09-01 13:58:00,ACH,240.63,EUR,Travel Booking,Eastern Europe,CUST-7172,0
5070c119,2026-09-01 13:59:00,Wallet,693.15,EUR,Grocery Mart,Eastern Europe,CUST-7913,0
46d2ddac,2026-09-01 14:08:00,ACH,341.2,EUR,Local Coffee Shop,Southern Europe,CUST-2323,0
e22abe99,2026-09-01 14:08:00,Wallet,173.73,USD,Local Coffee Shop,Eastern Europe,CUST-8581,0
ca8b10a7,2026-09-01 14:09:00,ACH,595.96,EUR,Travel Booking,Southern Europe,CUST-9137,0
be3766df,2026-09-01 14:13:00,ACH,351.2,USD,Local Coffee Shop,Southern Europe,CUST-7760,0
1742b4df,2026-09-01 14:14:00,ACH,571.12,EUR,GameStore,North America,CUST-2145,0
c5e44b81,2026-09-01 14:15:00,Wallet,113.09,EUR,Spotify,North America,CUST-7292,0
d265097f,2026-09-01 14:18:00,Wallet,666.38,EUR,Shopify Store,North America,CUST-5700,0
2357930f,2026-09-01 14:19:00,ACH,71.05,USD,Electronics Hub,North America,CUST-4865,0
62ce93ea,2026-09-01 14:20:00,Card,254.67,USD,Travel Booking,Western Europe,CUST-7113,0
e312ee5c,2026-09-01 14:20:00,Card,507.37,EUR,Shopify Store,Western Europe,CUST-9472,0
199f864a,2026-09-01 14:28:00,Card,58.85,USD,GameStore,Southern Europe,CUST-6809,0
3a4d4e9d,2026-09-01 14:34:00,Wallet,175.8,EUR,Electronics Hub,Southern Europe,CUST-1603,0
df289956,2026-09-01 14:45:00,ACH,42.77,USD,Uber,Northern Europe,CUST-1003,0
5463ec62,2026-09-01 14:49:00,Card,389.61,USD,Spotify,Eastern Europe,CUST-2462,0
e7ee6f22,2026-09-01 14:49:00,ACH,540.05,EUR,Travel Booking,North America,CUST-9447,0
f8667ec2,2026-09-01 14:51:00,Wallet,707.09,EUR,Amazon,Eastern Europe,CUST-2790,0
f5012ecd,2026-09-01 14:56:00,ACH,472.42,EUR,Fashion Outlet,North America,CUST-9169,0
f773e990,2026-09-01 15:05:00,Wallet,306.36,USD,Spotify,Northern Europe,CUST-3724,0
cdadfda4,2026-09-01 15:05:00,ACH,526.21,EUR,Fashion Outlet,Southern Europe,CUST-2025,0
5e6eface,2026-09-01 15:10:00,ACH,240.32,EUR,Spotify,Northern Europe,CUST-4883,0
b9f5fd9a,2026-09-01 15:18:00,Card,710.67,USD,Uber,Northern Europe,CUST-6024,0
e334e44f,2026-09-01 15:19:00,Card,90.71,USD,Grocery Mart,Southern Europe,CUST-2997,0
3f8e0f9c,2026-09-01 15:24:00,ACH,160.14,USD,Travel Booking,Northern Europe,CUST-7170,0
0e4d566f,2026-09-01 15:35:00,ACH,614.4,EUR,Grocery Mart,Eastern Europe,CUST-9849,0
fa1192d1,2026-09-01 15:35:00,Wallet,141.59,EUR,Amazon,North America,CUST-3095,0
b0ee25e3,2026-09-01 15:44:00,Card,496.43,USD,Shopify Store,North America,CUST-2271,0
266373f5,2026-09-01 15:55:00,Card,380.5,EUR,Fashion Outlet,Eastern Europe,CUST-2807,0
dc528238,2026-09-01 16:02:00,Wallet,211.4,EUR,Shopify Store,Southern Europe,CUST-1194,0
97ef9481,2026-09-01 16:06:00,Card,495.78,USD,Pharmacy Plus,Eastern Europe,CUST-3974,0
51d8476a,2026-09-01 16:09:00,Wallet,490.4,EUR,Grocery Mart,North America,CUST-1730,0
cbd43505,2026-09-01 16:09:00,Card,559.68,EUR,Pharmacy Plus,Western Europe,CUST-2103,0
ce3c3970,2026-09-01 16:13:00,ACH,74.44,USD,Shopify Store,Southern Europe,CUST-6273,0
138f4791,2026-09-01 16:20:00,Wallet,492.76,USD,Amazon,Southern Europe,CUST-6305,0
d3caae68,2026-09-01 16:24:00,Wallet,570.12,USD,Grocery Mart,Northern Europe,CUST-7463,0
f2a1d99f,2026-09-01 16:38:00,Card,259.34,USD,Pharmacy Plus,Eastern Europe,CUST-8984,0
43be258a,2026-09-01 16:40:00,ACH,273.19,USD,Amazon,Northern Europe,CUST-8122,0
4bbb3b73,2026-09-01 16:44:00,ACH,210.16,EUR,Electronics Hub,Western Europe,CUST-1261,0
0cc82cb3,2026-09-01 16:47:00,Wallet,44.66,EUR,Netflix,North America,CUST-6500,0
8a5f135e,2026-09-01 16:49:00,ACH,564.89,EUR,Shopify Store,Eastern Europe,CUST-8327,0
4e0242f7,2026-09-01 16:53:00,Card,631.96,EUR,GameStore,North America,CUST-2667,0
56d15fd9,2026-09-01 16:59:00,Wallet,705.34,USD,Shopify Store,Southern Europe,CUST-6078,0
6cb93f16,2026-09-01 17:05:00,Card,791.19,EUR,Uber,Northern Europe,CUST-9331,0
b923f668,2026-09-01 17:09:00,ACH,244.67,EUR,GameStore,North America,CUST-3095,0
ca1fcfa4,2026-09-01 17:11:00,Wallet,720.32,EUR,Electronics Hub,Northern Europe,CUST-2501,0
90f3bfb8,2026-09-01 17:13:00,Wallet,47.6,USD,Electronics Hub,Western Europe,CUST-2797,0
d4d32af1,2026-09-01 17:18:00,ACH,22.12,EUR,Pharmacy Plus,Southern Europe,CUST-5573,0
d7c3aed1,2026-09-01 17:28:00,Card,706.38,EUR,Amazon,Eastern Europe,CUST-4054,0
62078922,2026-09-01 17:52:00,ACH,29.51,USD,Electronics Hub,Eastern Europe,CUST-1352,0
c2adb297,2026-09-01 17:56:00,Card,765.16,USD,Netflix,Western Europe,CUST-1790,0
f2a499c9,2026-09-01 17:56:00,ACH,681.45,USD,Netflix,Western Europe,CUST-4910,0
13c05022,2026-09-01 18:01:00,Wallet,536.18,USD,Netflix,Northern Europe,CUST-6310,0
50a1f4ab,2026-09-01 18:13:00,ACH,784.53,USD,Local Coffee Shop,Southern Europe,CUST-9145,0
8ff5aab7,2026-09-01 18:18:00,ACH,321.15,USD,GameStore,Northern Europe,CUST-5553,0
b7128510,2026-09-01 18:30:00,Wallet,155.07,USD,Local Coffee Shop,North America,CUST-9195,0
072836ec,2026-09-01 18:31:00,ACH,701.6,EUR,Pharmacy Plus,North America,CUST-1623,0
39f81b44,2026-09-01 18:31:00,Wallet,258.87,EUR,Shopify Store,Western Europe,CUST-6280,0
79fb5a79,2026-09-01 18:33:00,Card,231.56,EUR,Spotify,Western Europe,CUST-5254,0
0413c8f0,2026-09-01 18:47:00,ACH,789.4,EUR,Amazon,North America,CUST-2133,0
41f14344,2026-09-01 18:55:00,Card,388.99,USD,Fashion Outlet,North America,CUST-1143,0
ef5e840d,2026-09-01 18:55:00,Wallet,45.69,USD,Travel Booking,Southern Europe,CUST-6387,0
ac2dcca6,2026-09-01 18:57:00,ACH,430.75,USD,GameStore,Eastern Europe,CUST-1745,0
e74d744c,2026-09-01 19:08:00,Card,101.67,EUR,GameStore,Southern Europe,CUST-5530,0
8291a2ed,2026-09-01 19:13:00,ACH,746.26,EUR,Fashion Outlet,Southern Europe,CUST-2239,0
4bed3679,2026-09-01 19:16:00,Card,418.63,EUR,GameStore,Southern Europe,CUST-5073,0
98995f38,2026-09-01 19:25:00,ACH,551.97,USD,Spotify,Western Europe,CUST-4167,0
bcf1cdd2,2026-09-01 19:34:00,Card,488.37,EUR,GameStore,Western Europe,CUST-4031,0
0256a068,2026-09-01 19:36:00,Card,89.89,USD,Grocery Mart,Western Europe,CUST-5578,0
d6db8811,2026-09-01 19:36:00,ACH,393.84,EUR,Pharmacy Plus,Northern Europe,CUST-9611,0
651ff33b,2026-09-01 19:42:00,Card,437.34,EUR,Pharmacy Plus,Eastern Europe,CUST-2372,0
682835e8,2026-09-01 19:43:00,ACH,437.73,EUR,Local Coffee Shop,Eastern Europe,CUST-5089,0
2bd19b32,2026-09-01 20:01:00,ACH,740.4,USD,Travel Booking,Eastern Europe,CUST-5077,0
e124f9d9,2026-09-01 20:08:00,Card,496.12,EUR,Amazon,North America,CUST-6251,0
63ff0914,2026-09-01 20:09:00,Card,577.84,EUR,Fashion Outlet,Southern Europe,CUST-1759,0
7842bb76,2026-09-01 20:18:00,Card,139.66,EUR,Netflix,Southern Europe,CUST-5434,0
085405a4,2026-09-01 20:18:00,ACH,399.35,USD,Local Coffee Shop,North America,CUST-4841,0
6c82bd3f,2026-09-01 20:26:00,ACH,500.9,EUR,Amazon,Northern Europe,CUST-6772,0
f6c3f528,2026-09-01 20:29:00,Card,328.57,EUR,Netflix,Northern Europe,CUST-5421,0
01ff66f8,2026-09-01 20:29:00,Card,792.6,USD,Uber,North America,CUST-7999,0
52d11387,2026-09-01 20:31:00,Wallet,272.69,USD,Amazon,Northern Europe,CUST-7492,0
09ec4629,2026-09-01 20:34:00,ACH,578.66,USD,Netflix,Northern Europe,CUST-3820,0
3ed9565e,2026-09-01 20:37:00,Card,231.63,EUR,Shopify Store,North America,CUST-2188,0
3227b4d1,2026-09-01 20:39:00,Card,94.53,USD,Fashion Outlet,Eastern Europe,CUST-7168,0
e3c0cf97,2026-09-01 20:44:00,Card,382.81,USD,Netflix,Western Europe,CUST-1712,0
c17bca9c,2026-09-01 20:46:00,Wallet,674.18,USD,Travel Booking,Western Europe,CUST-7345,0
3267b2f4,2026-09-01 20:47:00,Wallet,319.31,USD,Shopify Store,Eastern Europe,CUST-9527,0
02f1c4fe,2026-09-01 20:48:00,Card,31.75,USD,Fashion Outlet,Western Europe,CUST-8663,0
6ed0df38,2026-09-01 20:51:00,ACH,63.19,USD,Grocery Mart,Eastern Europe,CUST-4187,0
72204586,2026-09-01 21:01:00,Wallet,755.87,USD,Amazon,Eastern Europe,CUST-7767,0
72baad07,2026-09-01 21:01:00,Wallet,56.61,USD,Shopify Store,North America,CUST-1391,0
0f1b56fe,2026-09-01 21:08:00,ACH,351.02,USD,Uber,Western Europe,CUST-9451,0
a1b7a948,2026-09-01 21:08:00,Card,46.21,USD,GameStore,North America,CUST-2964,0
950c3f7f,2026-09-01 21:10:00,Card,28.16,EUR,Pharmacy Plus,Northern Europe,CUST-3422,0
da97c163,2026-09-01 21:12:00,Card,479.18,USD,Uber,Western Europe,CUST-5445,0
7dcfaefe,2026-09-01 21:20:00,ACH,265.11,EUR,Amazon,Northern Europe,CUST-3695,0
f3017544,2026-09-01 21:37:00,ACH,134.57,USD,Shopify Store,North America,CUST-2232,0
aade0977,2026-09-01 21:44:00,Card,636.48,EUR,Uber,Southern Europe,CUST-9297,0
dfe98bf9,2026-09-01 21:49:00,Card,309.2,USD,Travel Booking,North America,CUST-8623,0
43b55045,2026-09-01 21:50:00,Wallet,156.99,USD,Fashion Outlet,Southern Europe,CUST-4457,0
5a7b1155,2026-09-01 21:57:00,ACH,50.59,USD,Shopify Store,Eastern Europe,CUST-9400,0
e3e44aac,2026-09-01 22:04:00,Wallet,43.98,USD,Travel Booking,Western Europe,CUST-9996,0
4fade8cb,2026-09-01 22:16:00,Card,33.35,USD,Electronics Hub,Eastern Europe,CUST-7565,0
2aa1887d,2026-09-01 22:21:00,ACH,343.69,EUR,Pharmacy Plus,Southern Europe,CUST-4303,0
bc0dc00c,2026-09-01 22:22:00,Wallet,475.49,EUR,Amazon,Northern Europe,CUST-7240,0
